text,emotion
I'm nervous that I will mess up will go badly,anxious
I can't stop worrying about an interview,anxious
I feel anxious and keep replaying conversations in my head,anxious
I feel uneasy and my head hurts,anxious
I can't calm down because making mistakes,anxious
My mind keeps racing about a presentation,anxious
I can't calm down because deadlines,anxious
I feel anxious when I think about tomorrow,anxious
My mind keeps racing about family issues,anxious
I keep overthinking my relationship,anxious
I feel anxious and my chest feels tense,anxious
I feel anxious and my hands feels weak,anxious
I keep overthinking an interview,anxious
I can't calm down because everything happening at once,anxious
I can't stop worrying about making mistakes,anxious
I feel anxious and my stomach feels numb,anxious
I can't calm down because my health,anxious
I feel anxious and my hands feels heavy,anxious
I feel anxious when I open my messages,anxious
I feel anxious about an interview,anxious
I feel anxious and my shoulders feels weak,anxious
I feel anxious and my shoulders feels numb,anxious
I keep overthinking my health,anxious
I feel anxious and keep pacing around,anxious
I can't stop worrying about deadlines,anxious
I feel anxious when I try to sleep,anxious
I feel anxious and keep procrastinating,anxious
I feel anxious when I'm scrolling social media,anxious
I can't stop worrying about everything happening at once,anxious
I can't calm down because a presentation,anxious
My mind keeps racing about work expectations,anxious
I feel on edge when I think about an interview,anxious
I feel anxious and my stomach feels weak,anxious
I keep overthinking my job,anxious
I feel anxious about everything happening at once,anxious
I keep overthinking everything happening at once,anxious
I can't calm down because my future,anxious
I keep overthinking what people think of me,anxious
I feel on edge when I think about not meeting my goals,anxious
My mind keeps racing about my relationship,anxious
I feel anxious about social situations,anxious
I can't calm down because my exams,anxious
I can't calm down because school assignments,anxious
I feel anxious and my shoulders feels heavy,anxious
I feel anxious and keep biting my nails,anxious
I feel anxious about not meeting my goals,anxious
I can't stop worrying about my job,anxious
I can't stop worrying about what people think of me,anxious
I feel on edge when I think about everything happening at once,anxious
I can't stop worrying about work expectations,anxious
I feel uneasy and I feel tense,anxious
I can't calm down because what people think of me,anxious
My mind keeps racing about my health,anxious
I keep overthinking money problems,anxious
I'm nervous that I will disappoint everyone will go badly,anxious
I feel anxious about my relationship,anxious
I feel anxious and my chest feels heavy,anxious
I can't stop worrying about my health,anxious
I feel on edge when I think about what people think of me,anxious
I feel on edge when I think about my relationship,anxious
I can't stop worrying about family issues,anxious
I'm nervous that I will panic again will go badly,anxious
I'm nervous that I will fail will go badly,anxious
I feel anxious when I'm at home,anxious
I feel anxious about school assignments,anxious
I feel on edge when I think about a presentation,anxious
I keep overthinking a presentation,anxious
I feel anxious when I'm surrounded by people,anxious
My mind keeps racing about making mistakes,anxious
I feel on edge when I think about making mistakes,anxious
I'm nervous that something bad will happen will go badly,anxious
I feel anxious and my shoulders feels tight,anxious
My mind keeps racing about my exams,anxious
I keep overthinking deadlines,anxious
I feel anxious and my hands feels numb,anxious
I feel anxious about making mistakes,anxious
I keep overthinking social situations,anxious
My mind keeps racing about my future,anxious
I feel anxious about family issues,anxious
I feel anxious and my head feels heavy,anxious
I feel anxious and my head feels tight,anxious
I can't calm down because work expectations,anxious
I feel anxious about my exams,anxious
I feel on edge when I think about my future,anxious
I'm nervous that I won't be good enough will go badly,anxious
I can't stop worrying about my exams,anxious
I feel anxious about my job,anxious
I can't calm down because an interview,anxious
My mind keeps racing about deadlines,anxious
I feel on edge when I think about school assignments,anxious
I feel anxious and my stomach feels shaky,anxious
I feel anxious and my stomach feels tense,anxious
I feel on edge when I think about family issues,anxious
I feel anxious and my head feels numb,anxious
I feel anxious and my shoulders feels shaky,anxious
I feel on edge when I think about my health,anxious
I can't stop worrying about social situations,anxious
I feel anxious and my stomach feels tight,anxious
I feel uneasy and I keep clenching my jaw,anxious
I feel anxious about what people think of me,anxious
I can't stop worrying about my relationship,anxious
I feel anxious and my throat feels tight,anxious
I feel anxious and my head feels tense,anxious
I keep overthinking my future,anxious
I feel anxious about my future,anxious
I feel anxious and my hands feels shaky,anxious
I feel anxious when I am alone,anxious
I feel anxious and my head feels weak,anxious
I can't stop worrying about money problems,anxious
I'm nervous that I will be judged will go badly,anxious
I feel on edge when I think about my exams,anxious
I feel tense and restless today,anxious
I feel anxious and my shoulders feels tense,anxious
I feel anxious about a presentation,anxious
I'm nervous that I will be alone forever will go badly,anxious
I'm nervous that I will lose my job will go badly,anxious
I feel uneasy and I feel irritable,anxious
I keep overthinking school assignments,anxious
I can't calm down because my relationship,anxious
I can't calm down because family issues,anxious
My mind keeps racing about what people think of me,anxious
I feel anxious and my chest feels tight,anxious
I feel anxious and keep staying in bed,anxious
I feel anxious and my thoughts won't slow down,anxious
I feel anxious and my chest feels numb,anxious
I feel on edge when I think about social situations,anxious
I feel anxious about work expectations,anxious
I can't calm down because money problems,anxious
I feel anxious about money problems,anxious
I feel anxious and I can't relax,anxious
I feel anxious and keep avoiding people,anxious
I feel on edge when I think about work expectations,anxious
I feel anxious and keep overthinking everything,anxious
I feel anxious and my head feels shaky,anxious
I feel anxious and keep scrolling social media,anxious
I keep overthinking making mistakes,anxious
I feel anxious and keep checking my phone,anxious
I feel anxious and my throat feels shaky,anxious
I feel uneasy and my stomach feels upset,anxious
I feel anxious and my chest feels shaky,anxious
I feel on edge when I think about deadlines,anxious
I feel uneasy and I feel shaky,anxious
My mind keeps racing about not meeting my goals,anxious
I feel anxious when I have to talk to someone,anxious
I can't calm down because not meeting my goals,anxious
I feel anxious about my health,anxious
I keep overthinking my exams,anxious
I keep overthinking family issues,anxious
I can't stop worrying about my future,anxious
I feel uneasy and my chest feels tight,anxious
My mind keeps racing about social situations,anxious
I can't stop worrying about a presentation,anxious
I feel anxious and my hands feels tight,anxious
I feel on edge when I think about my job,anxious
I feel anxious and my chest feels weak,anxious
I can't calm down because my job,anxious
I feel anxious when I am in public,anxious
I feel anxious and my throat feels heavy,anxious
I feel on edge when I think about money problems,anxious
I can't stop worrying about not meeting my goals,anxious
I feel uneasy and I can't sit still,anxious
I feel anxious and my throat feels weak,anxious
I can't calm down because social situations,anxious
I feel anxious and my throat feels numb,anxious
My mind keeps racing about everything happening at once,anxious
My mind keeps racing about my job,anxious
I feel anxious and my stomach feels heavy,anxious
I feel anxious and my hands feels tense,anxious
